country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,4.38,1.52,0.184,3.55,3.84,4.15,4.11,3.62,4.4,5.52
Austria,4.22,3.78,2.99,1.88,0.193,2.87,2.19,2.77,1.87,3.54
Belgium,3.31,2.98,1.75,1.4,-1.08,3.11,2.28,1.11,3.28,1.86
Canada,2.05,0.10300000000000001,-2.04,0.624,2.07,4.69,2.57,1.34,4.07,3.96
Denmark,0.493,1.4,1.45,2.11,0.0877,5.74,3.09,2.82,3.35,2.35
France,3.33,2.51,1.13,1.59,-1.25,1.95,2.13,0.998,2.14,3.41
Italy,4.3,1.88,0.9420000000000001,1.26,-0.778,3.0,5.39,0.865,3.16,2.91
Netherlands,4.78,4.52,2.64,2.03,1.69,3.38,3.6,3.99,4.64,4.21
Norway,1.19,2.38,3.86,3.45,2.88,5.46,4.62,5.55,5.45,2.34
United States,3.51,1.61,-0.626,2.96,2.52,3.9,2.43,3.72,4.46,4.41
