country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,,73.6,73.0,72.9,72.6,73.3,74.0,74.1,73.7,73.7
Austria,,67.7,68.2,69.2,69.5,70.9,71.5,71.1,70.8,71.1
Belgium,,58.8,60.1,60.5,60.8,61.7,62.2,62.3,62.6,63.2
Canada,,76.7,76.3,75.4,75.2,75.0,74.7,74.6,74.9,75.3
Denmark,,82.4,82.3,82.0,81.2,78.7,79.6,79.5,79.9,79.4
France,,67.0,66.7,67.0,67.1,67.2,67.4,68.1,67.9,68.1
Italy,,60.5,60.8,59.0,58.6,58.2,57.9,58.3,58.5,59.0
Netherlands,,66.3,66.9,67.4,67.7,68.6,69.1,69.8,71.4,72.5
Norway,,76.3,75.5,75.4,75.0,75.5,76.7,78.2,79.8,80.9
United States,,75.8,75.4,75.8,75.8,76.0,76.1,76.3,76.6,76.7
