country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,137.0,137.0,133.0,139.0,126.0,122.0,132.0,124.0,134.0,132.0
Austria,116.0,120.0,120.0,120.0,116.0,135.0,131.0,131.0,128.0,127.0
Belgium,,,,,,,,,,
Canada,113.0,117.0,115.0,120.0,125.0,127.0,130.0,136.0,141.0,142.0
Denmark,116.0,122.0,131.0,135.0,141.0,142.0,138.0,132.0,146.0,139.0
France,98.1,98.8,99.7,103.0,101.0,101.0,102.0,106.0,107.0,110.0
Italy,79.7,83.0,84.9,84.5,83.7,82.5,83.2,84.3,88.1,89.1
Netherlands,145.0,155.0,166.0,156.0,150.0,138.0,133.0,128.0,129.0,128.0
Norway,111.0,113.0,115.0,118.0,120.0,121.0,121.0,120.0,126.0,125.0
United States,168.0,173.0,175.0,177.0,181.0,183.0,183.0,186.0,193.0,194.0
