country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Australia,11.6,12.2,12.5,12.1,10.8,12.0,11.3,12.4,13.5,13.3
Austria,20.7,19.5,18.7,18.6,17.7,18.6,18.5,18.0,16.4,15.9
Belgium,16.0,15.7,14.9,15.5,17.9,17.7,17.9,16.8,17.9,16.6
Canada,12.5,11.9,12.3,12.2,12.2,11.9,12.5,12.3,11.3,11.3
Denmark,22.1,19.6,18.3,17.7,17.8,15.2,14.2,13.6,12.5,11.7
France,17.5,16.8,16.9,17.0,17.9,17.4,16.8,16.0,15.6,14.8
Italy,5.98,5.98,6.05,6.25,6.41,6.18,6.16,6.35,6.27,5.95
Netherlands,8.99,8.41,9.2,8.96,8.78,8.86,8.45,8.67,8.73,8.25
Norway,14.2,14.0,14.4,13.0,12.3,11.4,11.6,10.8,10.9,11.6
United States,11.2,11.4,11.3,11.1,11.2,11.1,11.1,10.8,10.5,10.4
